"s","p","o"
"http://kgc.knowledge-graph.jp/data/SpeckledBand/metadata","http://creativecommons.org/ns#license","https://creativecommons.org/licenses/by/4.0/"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#source","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#AnnotationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#ActionOption","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Not","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#Not","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#ActionOption"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneProperty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#TargetObjProperty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#adjunct","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#adjunct","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#SceneObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#around","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#around","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#at_the_same_time","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#at_the_same_time","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#because","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#because","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#RelationBetweenScene"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#canNot","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#canNot","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#ActionOption"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#from","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#from","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#LocationProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPart","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPart","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#TargetObjProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasPredicate","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#TargetObjProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasProperty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#hasProperty","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://kgc.knowledge-graph.jp/ontology/kgc.owl#TargetObjProperty"
"http://kgc.knowledge-graph.jp/ontology/kgc.owl#how","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
